City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
583,Clonakilty,IE,55.09,overcast clouds,51.62,-8.87,Inchydoney Island Lodge & Spa
584,Antsohihy,MG,66.07,clear sky,-14.88,47.99,Hotel de Ville
586,Liverpool,GB,58.14,few clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
588,Crib Point,AU,61.25,overcast clouds,-38.35,145.2,Erawan Bed & Breakfast
592,Parabel,RU,56.98,broken clouds,58.7,81.48,Housing Complex Gazprom Transgaz Tomsk
593,Mildura,AU,64.08,clear sky,-34.2,142.15,Mercure Hotel Mildura
594,Sitka,US,53.49,few clouds,57.05,-135.33,Westmark Sitka
604,Esperance,AU,53.44,overcast clouds,-33.87,121.9,Hospitality Esperance
605,Severnoye,RU,59.88,overcast clouds,56.35,78.36,Gostinitsa Severyanka
606,Irbeyskoye,RU,65.89,overcast clouds,55.64,95.45,"Gostinitsa ""Agul"""
607,Albury,AU,61.32,few clouds,-36.08,146.92,Albury Georgian Motel & Suites
608,Altstatten,CH,65.25,overcast clouds,47.38,9.55,Sonne
609,Black Diamond,US,59.59,overcast clouds,47.31,-122.0,Lake Sawyer RV Resort
610,Chernyshkovskiy,RU,50.99,clear sky,48.42,42.23,"The hotel ""Eugenia"""
613,Aromashevo,RU,54.16,overcast clouds,56.86,68.64,Gostinitsa
614,Kushima,JP,58.59,light rain,31.46,131.23,Hanaoka
617,Kaseda,JP,62.73,overcast clouds,31.42,130.32,Sun Stay Kaseda
619,Ferme-Neuve,CA,60.67,overcast clouds,46.7,-75.45,Pourvoirie Club Fontbrune Ltee
622,Medea,DZ,65.12,scattered clouds,36.26,2.75,Hôtel M'Sallah
623,Xingcheng,CN,67.64,broken clouds,40.62,120.72,New Century Hotel
624,Kigorobya,UG,65.57,broken clouds,1.62,31.31,Palace guest house kigorobya
625,De Aar,ZA,52.72,clear sky,-30.65,24.01,Nyibiba Guesthouse
627,Yantal,RU,65.35,broken clouds,56.85,105.25,
635,Zonalnaya Stantsiya,RU,59.11,clear sky,56.43,85.02,Hotel Lider
637,Jiexiu,CN,65.26,clear sky,37.02,111.91,IU Hotel Jinzhong Yuhua Road
642,Palmer,US,69.62,light rain,42.16,-72.33,Wedgewood Motel
643,Vila Franca Do Campo,PT,65.19,broken clouds,37.72,-25.43,Pestana Bahia Praia
646,Loughrea,IE,53.55,light rain,53.2,-8.57,Lough Rea Hotel & Spa
647,Kindu,CD,69.06,light rain,-2.95,25.95,Résidence Okanda
649,Mbumi,TZ,69.58,clear sky,-7.91,39.21,
650,Concarneau,FR,62.82,overcast clouds,47.88,-3.92,Brit Hotel de L' Océan
653,Stony Plain,CA,66.51,scattered clouds,53.53,-114.0,Travelodge by Wyndham Stony Plain
658,Santiago Del Estero,AR,56.59,overcast clouds,-27.8,-64.26,Apartamentos Castelli 90
659,Tokmak,UA,50.65,clear sky,47.25,35.71,Дом приезжих
660,Bela Vista,BR,60.6,clear sky,-22.11,-56.52,Bella Vista Palace Hotel
663,Okato,NZ,67.51,light rain,-39.2,173.88,Stony River House
668,Iskele,TR,57.29,clear sky,39.48,26.93,Hotel Nova
669,Sakaiminato,JP,61.77,overcast clouds,35.55,133.23,Italian pasley
670,Karpathos,GR,66.16,clear sky,35.51,27.21,Alex
671,Christchurch,NZ,57.9,broken clouds,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
672,Pozo Colorado,PY,59.63,clear sky,-23.49,-58.8,Hospedaje La Norteña
675,Sayyan,YE,57.54,clear sky,15.17,44.32,ملاطف ابوحورية
678,Matveyev Kurgan,RU,50.14,clear sky,47.56,38.87,Korona
680,Margate,GB,60.69,overcast clouds,51.38,1.39,Premier Inn Margate hotel
681,Mbekenyera,TZ,67.26,clear sky,-10.0,38.98,
682,Sekoma,BW,60.67,scattered clouds,-24.4,23.88,
684,Dali,CN,55.8,overcast clouds,25.7,100.18,Dali Travelling With Hostel
685,Prieska,ZA,54.84,clear sky,-29.66,22.75,Avenue GuestHouse
686,Adwa,ET,64.53,clear sky,14.16,38.9,Maay Assa Hotel
687,Newport,GB,59.63,overcast clouds,51.59,-3.0,ibis budget Newport
690,Shimoda,JP,61.16,light rain,34.67,138.95,Shimoda Tokyu Hotel
691,Saint-Gaudens,FR,58.03,overcast clouds,43.08,0.67,L'Ardiégeoise
692,Simao,CN,67.3,overcast clouds,22.79,100.97,Changyu Hotel
700,Baiyin,CN,51.37,clear sky,36.56,104.21,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
701,Saint-Leu,RE,69.31,clear sky,-21.15,55.28,La Caz Oceane
705,Rulenge,TZ,62.56,light rain,-2.72,30.63,
711,Tholen,NL,65.1,few clouds,51.53,4.22,B&B Op de Brabantse Wal
718,Taksimo,RU,56.93,broken clouds,56.34,114.88,"Gostinitsa ""Domashniy Ochag"""
720,Kijang,KR,69.53,overcast clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
725,Paita,PE,67.15,broken clouds,-5.09,-81.11,Hotel Náutico de Paita
726,Fort Frances,CA,54.16,overcast clouds,48.6,-93.4,LA PLACE RENDEZ-VOUS
727,Yinchuan,CN,64.8,clear sky,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
